iter	RMSE
0	16.09399263
1	16.07603942
2	16.03914269
3	16.01404951
4	15.98728412
5	15.96664052
6	15.94635852
7	15.92850497
8	15.92419757
9	15.88555628
10	15.86611343
11	15.82367304
12	15.79776885
13	15.79170066
14	15.75436896
15	15.72888723
16	15.70466309
17	15.66801853
18	15.64642716
19	15.62406179
20	15.61426635
21	15.58096467
22	15.53534128
23	15.53119817
24	15.52660099
25	15.48692049
26	15.46448768
27	15.44192548
28	15.43217719
29	15.41963459
30	15.41868561
31	15.39051172
32	15.36048434
33	15.31753056
34	15.30413884
35	15.27140531
36	15.25390029
37	15.21411677
38	15.1784423
39	15.16761231
40	15.14939065
41	15.12912378
42	15.11994559
43	15.07814153
44	15.05926633
45	15.03639882
46	15.015931
47	14.99817063
48	14.99660354
49	14.99374156
50	14.98976193
51	14.97429597
52	14.96588541
53	14.95138912
54	14.92664265
55	14.90744997
56	14.89342909
57	14.88491855
58	14.86773385
59	14.84607428
60	14.83771087
61	14.83563196
62	14.81044398
63	14.78934795
64	14.78238385
65	14.77450305
66	14.74856072
67	14.74217719
68	14.7171934
69	14.71308538
70	14.68477527
71	14.65124869
72	14.62398767
73	14.59787042
74	14.5978674
75	14.56941511
76	14.53966958
77	14.51908851
78	14.50524789
79	14.48455073
80	14.43367568
81	14.41210348
82	14.40257174
83	14.39504416
84	14.37845576
85	14.37559037
86	14.35802151
87	14.35449249
88	14.33370642
89	14.30227659
90	14.29886355
91	14.2935867
92	14.26765036
93	14.25009275
94	14.23945172
95	14.22132564
96	14.1948244
97	14.18082276
98	14.16010981
99	14.15737247
100	14.1526832
101	14.12856427
102	14.12174456
103	14.12014997
104	14.0906808
105	14.06388725
106	14.06388696
107	14.05127023
108	14.03276617
109	14.02953863
110	14.02070979
111	13.9964427
112	13.96849138
113	13.94362107
114	13.93748266
115	13.89663932
116	13.89262715
117	13.87713869
118	13.85308524
119	13.84412178
120	13.83576804
121	13.80419504
122	13.77430537
