iter	Passed	Remaining
0	78	156211
1	168	167995
2	247	165048
3	353	176181
4	447	178583
5	540	179644
6	623	177521
7	672	167487
8	695	153842
9	753	150045
10	836	151324
11	955	158370
12	1051	160745
13	1072	152090
14	1155	152864
15	1230	152594
16	1322	154254
17	1414	155749
18	1508	157279
19	1605	158924
20	1664	156849
21	1746	156985
22	1838	158020
23	1870	154040
24	1902	150265
25	1994	151446
26	2079	151971
27	2175	153248
28	2215	150607
29	2307	151500
30	2344	148913
31	2425	149173
32	2510	149616
33	2577	149020
34	2660	149341
35	2734	149177
36	2824	149853
37	2920	150764
38	3029	152333
39	3072	150572
40	3184	152175
41	3266	152293
42	3334	151755
43	3447	153273
44	3536	153650
45	3618	153717
46	3702	153865
47	3800	154547
48	3820	152120
49	3847	150049
50	3869	147860
51	3907	146397
52	3937	144648
53	4020	144901
54	4115	145555
55	4215	146332
56	4314	147070
57	4354	145784
58	4444	146226
59	4527	146397
60	4566	145152
61	4585	143325
62	4681	143925
63	4770	144319
64	4852	144460
65	4928	144433
66	5015	144701
67	5061	143810
68	5119	143278
69	5142	141796
70	5230	142116
71	5334	142837
72	5383	142115
73	5421	141109
74	5448	139851
75	5531	140035
76	5655	141235
77	5745	141572
78	5841	142037
79	5922	142142
80	6011	142429
81	6089	142446
82	6178	142701
83	6247	142510
84	6348	143022
85	6374	141871
86	6474	142374
87	6511	141471
88	6607	141868
89	6691	142017
90	6719	140956
91	6769	140385
92	6867	140829
93	6970	141330
94	7046	141307
95	7130	141414
96	7237	141982
97	7359	142827
98	7473	143500
99	7518	142848
100	7570	142347
101	7658	142508
102	7744	142630
103	7805	142307
104	7904	142665
105	7995	142862
106	8005	141625
107	8091	141756
108	8178	141890
109	8240	141594
110	8335	141852
111	8416	141883
112	8507	142068
113	8597	142230
114	8702	142650
115	8790	142766
116	8853	142492
117	8938	142554
118	9018	142548
119	9102	142610
120	9140	141949
121	9234	142156
122	9330	142385
