City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Capacity (Tons),Year,Latitude,Longitude,Utilization_Ratio,Cost_Efficiency,Campaign_Intensity,Waste_to_Density,Density_Bin
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,45575,2019,22.4265,77.4931,0.14503565550970848,0.002944062806673209,0.0012508934953538242,0.5906004288777699,Mid-Low
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,45575,2019,22.4265,77.4931,0.025913329675789066,0.0017992083483267362,0.001072194424588992,0.10552180128663331,Mid-Low
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,45575,2019,22.4265,77.4931,0.17908941305147363,0.0023591860808021233,0.001161543959971408,0.7292709077912795,Mid-Low
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,45575,2019,22.4265,77.4931,0.1959188151355805,0.00333555703802535,0.0012508934953538242,0.7978020014295926,Mid-Low
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,45575,2019,22.4265,77.4931,0.11041140976170244,0.0031503150315031502,0.0014295925661186562,0.4496068620443174,Mid-Low
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,45575,2020,22.4265,77.4931,0.1635984640666243,0.002816020025031289,0.000536097212294496,0.6661901358112938,Mid-Low
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,45575,2020,22.4265,77.4931,0.15618211738549242,0.0016273393002441008,0.0012508934953538242,0.6359899928520372,Mid-Low
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,45575,2020,22.4265,77.4931,0.20162369719798962,0.005580357142857143,0.001072194424588992,0.8210328806290207,Mid-Low
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,45575,2020,22.4265,77.4931,0.18889742182800007,0.0047562425683709865,0.0017869907076483202,0.7692101501072195,Mid-Low
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,45575,2020,22.4265,77.4931,0.14551837629960465,0.0025951557093425604,0.001072194424588992,0.592566118656183,Mid-Low
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,45575,2021,22.4265,77.4931,0.1521009325254613,0.003930817610062893,0.0014295925661186562,0.6193709792709078,Mid-Low
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,45575,2021,22.4265,77.4931,0.09151947339349381,0.0018919487071683834,0.0012508934953538242,0.3726769120800572,Mid-Low
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,45575,2021,22.4265,77.4931,0.11179374656913234,0.0027878449958182324,0.00017869907076483203,0.4552358827734096,Mid-Low
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,45575,2021,22.4265,77.4931,0.07710367525886772,0.0025560920193126954,0.0,0.31397426733380984,Mid-Low
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,45575,2021,22.4265,77.4931,0.0988480526582809,0.002735229759299781,0.00035739814152966406,0.40251965689778413,Mid-Low
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,45575,2022,22.4265,77.4931,0.05487657706955838,0.007531380753138075,0.00035739814152966406,0.22346318799142245,Mid-Low
Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,45575,2022,22.4265,77.4931,0.07346132748056036,0.0025167785234899327,0.0008934953538241601,0.29914224446032883,Mid-Low
Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,45575,2022,22.4265,77.4931,0.1517279210059961,0.003870967741935484,8.934953538241601e-05,0.6178520371694067,Mid-Low
Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,45575,2022,22.4265,77.4931,0.1286231486532392,0.0024407252440725243,0.0016976411722659042,0.5237669764117227,Mid-Low
Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,45575,2022,22.4265,77.4931,0.10654964344253319,0.012091898428053204,8.934953538241601e-05,0.43388134381701216,Mid-Low
Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,45575,2023,22.4265,77.4931,0.14413603949217474,0.0011660447761194029,0.0014295925661186562,0.5869370979270908,Mid-Low
Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,45575,2023,22.4265,77.4931,0.17134393855904895,0.002556727388942154,0.0006254467476769121,0.6977305218012866,Mid-Low
Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,45575,2023,22.4265,77.4931,0.15868348875131796,0.0038314176245210726,0.0008041458184417441,0.6461758398856325,Mid-Low
Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,45575,2023,22.4265,77.4931,0.08862314865411688,0.007182761372705506,0.001072194424588992,0.36088277340957825,Mid-Low
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,45575,2023,22.4265,77.4931,0.15528250136795868,0.003156787092248334,0.00044674767691208004,0.6323266619013581,Mid-Low
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,74509,2019,30.2591,91.9376,0.01423989048283778,0.001178967224711153,6.955554009876887e-05,0.07379842804479377,Mid-High
Delhi,Organic,2224,84,14376,10,Landfill,3219,4,74509,2019,30.2591,91.9376,0.029848743104459213,0.003105590062111801,0.0002782221603950755,0.15469152117966195,Mid-High
Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,74509,2019,30.2591,91.9376,0.032143767866537686,0.0024925224327018943,6.955554009876887e-05,0.16658551853655143,Mid-High
Delhi,Construction,1887,80,14376,7,Incineration,4307,4,74509,2019,30.2591,91.9376,0.02532579956749754,0.0016248839368616526,0.0002782221603950755,0.13125130416637684,Mid-High
Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,74509,2019,30.2591,91.9376,0.055805338951592356,0.0011950286806883365,0.0004173332405926132,0.28921193573068094,Mid-High
Delhi,Plastic,763,75,14376,5,Recycling,1337,20,74509,2020,30.2591,91.9376,0.010240373645999272,0.0037369207772795215,0.0013911108019753773,0.053070877095360645,Mid-High
Delhi,Organic,7143,69,14376,9,Landfill,682,16,74509,2020,30.2591,91.9376,0.09586761330717274,0.013177159590043924,0.001112888641580302,0.496835222925506,Mid-High
Delhi,E-Waste,7516,84,14376,5,Composting,620,18,74509,2020,30.2591,91.9376,0.1008737199519404,0.008051529790660225,0.0012519997217778397,0.5227794393823468,Mid-High
Delhi,Construction,3125,77,14376,8,Recycling,4345,5,74509,2020,30.2591,91.9376,0.04194124199704813,0.0018407731247123793,0.0003477777004938443,0.21736106280865272,Mid-High
Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,74509,2020,30.2591,91.9376,0.08823095196435021,0.0087527352297593,0.0013911108019753773,0.45725812060930654,Mid-High
Delhi,Plastic,3407,82,14376,10,Composting,2802,4,74509,2021,30.2591,91.9376,0.04572601967486175,0.0035676061362825543,0.0002782221603950755,0.23697572511650553,Mid-High
Delhi,Organic,9617,36,14376,6,Recycling,2676,5,74509,2021,30.2591,91.9376,0.1290716557713958,0.0022413149047441168,0.0003477777004938443,0.6689156291298602,Mid-High
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,74509,2021,30.2591,91.9376,0.019138627548093003,0.0029850746268656717,0.00013911108019753774,0.09918620018084441,Mid-High
Delhi,Construction,8566,34,14376,8,Landfill,2594,19,74509,2021,30.2591,91.9376,0.11496597726294856,0.0030828516377649326,0.0013215552618766084,0.5958127564860541,Mid-High
Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,74509,2021,30.2591,91.9376,0.03855910024240617,0.004199475065616798,0.001112888641580302,0.19983306670376297,Mid-High
Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,74509,2022,30.2591,91.9376,0.09086150666240507,0.0028595939376608523,0.00013911108019753774,0.4708910064686652,Mid-High
Delhi,Organic,8105,40,14376,8,Recycling,3175,12,74509,2022,30.2591,91.9376,0.10877880524354402,0.0025188916876574307,0.0008346664811852264,0.5637476525005216,Mid-High
Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,74509,2022,30.2591,91.9376,0.08809673998995965,0.0015772870662460567,0.0009042220212839953,0.45656256520831884,Mid-High
Delhi,Construction,7226,48,14376,8,Incineration,2360,11,74509,2022,30.2591,91.9376,0.09698157269461433,0.0033883947479881405,0.0007651109410864575,0.5026083327537039,Mid-High
Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,74509,2022,30.2591,91.9376,0.04649102792888791,0.002377179080824089,6.955554009876887e-05,0.24094039090213534,Mid-High
Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,74509,2023,30.2591,91.9376,0.032170610261415794,0.0024691358024691358,0.0,0.16672462961674897,Mid-High
Delhi,Organic,9092,71,14376,6,Landfill,2194,14,74509,2023,30.2591,91.9376,0.12202552711589171,0.002733485193621868,0.0009737775613827642,0.6323989705780065,Mid-High
Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,74509,2023,30.2591,91.9376,0.09739762981522505,0.0015337423312883436,0.0003477777004938443,0.5047645544967657,Mid-High
Delhi,Construction,8220,66,14376,6,Incineration,1687,10,74509,2023,30.2591,91.9376,0.11032224294903539,0.0035545023696682463,0.0006955554009876886,0.57174653961188,Mid-High
Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,74509,2023,30.2591,91.9376,0.040988336978875196,0.007922535211267605,0.0004868887806913821,0.21242261946164012,Mid-High
Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,52609,2019,15.7581,85.4837,0.14908095572717442,0.0023741690408357074,0.0007144427346669598,0.43102879753792045,Mid-High
